node_id, total_out, total_in, pos_in, neg_in, pos_out,neg_out
4313, 234, 273, 266, 7, 150, 84
4360, 198, 391, 378, 13, 184, 14
4436, 10, 11, 9, 2, 8, 2
4446, 4, 7, 6, 1, 4, 0
4489, 220, 430, 411, 19, 213, 7
4494, 229, 287, 268, 19, 104, 125
4528, 61, 186, 174, 12, 40, 21
4542, 236, 593, 583, 10, 235, 1
4550, 253, 49, 47, 2, 95, 158
4561, 218, 44, 41, 3, 213, 5
4590, 36, 51, 27, 24, 36, 0
4599, 68, 61, 57, 4, 68, 0
4640, 134, 138, 133, 5, 86, 48
4689, 48, 293, 281, 12, 48, 0
4726, 86, 63, 61, 2, 80, 6
4774, 45, 52, 46, 6, 43, 2
4820, 49, 54, 48, 6, 38, 11
4874, 95, 89, 81, 8, 71, 24
4887, 14, 21, 15, 6, 14, 0
4900, 54, 164, 160, 4, 42, 12
4948, 412, 602, 551, 51, 333, 79
4959, 195, 332, 321, 11, 186, 9
4994, 15, 6, 3, 3, 9, 6
5003, 279, 186, 181, 5, 196, 83
5033, 99, 189, 186, 3, 98, 1
5054, 180, 187, 180, 7, 180, 0
5071, 113, 95, 88, 7, 113, 0
5157, 6, 15, 5, 10, 6, 0
5291, 101, 208, 199, 9, 83, 18
5373, 61, 46, 46, 0, 58, 3
5396, 36, 55, 52, 3, 35, 1
5496, 175, 260, 243, 17, 71, 104
5507, 165, 171, 166, 5, 157, 8
5564, 82, 118, 115, 3, 75, 7
5578, 2, 8, 1, 7, 2, 0
5603, 10, 15, 9, 6, 7, 3
5626, 6, 7, 6, 1, 5, 1
5641, 345, 104, 78, 26, 62, 283
5727, 56, 69, 59, 10, 54, 2
5729, 0, 22, 10, 12, 0, 0
5761, 33, 35, 28, 7, 23, 10
5768, 16, 81, 78, 3, 14, 2
5773, 202, 391, 353, 38, 198, 4
5819, 15, 21, 17, 4, 15, 0
5882, 309, 195, 183, 12, 157, 152
6025, 125, 69, 65, 4, 68, 57
6128, 183, 152, 144, 8, 111, 72
6176, 53, 103, 64, 39, 44, 9
6296, 718, 316, 185, 131, 42, 676
6306, 158, 277, 263, 14, 80, 78
6328, 24, 21, 13, 8, 23, 1
6364, 105, 359, 334, 25, 66, 39
6392, 2, 17, 6, 11, 2, 0
6462, 58, 102, 101, 1, 57, 1
6482, 83, 56, 50, 6, 64, 19
6559, 140, 106, 106, 0, 97, 43
6655, 53, 114, 111, 3, 53, 0
6719, 154, 253, 251, 2, 138, 16
6743, 57, 66, 64, 2, 57, 0
6800, 369, 553, 531, 22, 353, 16
6827, 66, 117, 115, 2, 66, 0
6834, 58, 36, 31, 5, 58, 0
6836, 97, 94, 85, 9, 78, 19
7062, 43, 36, 34, 2, 43, 0
7089, 25, 29, 26, 3, 25, 0
7233, 16, 20, 16, 4, 15, 1
7235, 22, 17, 17, 0, 17, 5
7269, 360, 133, 123, 10, 62, 298
7279, 110, 136, 132, 4, 95, 15
7385, 16, 80, 75, 5, 16, 0
7674, 112, 203, 195, 8, 89, 23
7821, 23, 23, 10, 13, 23, 0
7845, 17, 87, 83, 4, 17, 0
7855, 382, 359, 346, 13, 121, 261
7998, 58, 56, 56, 0, 58, 0
8357, 50, 36, 36, 0, 50, 0
8533, 111, 164, 160, 4, 104, 7
8544, 115, 130, 129, 1, 80, 35
8684, 83, 140, 85, 55, 45, 38
8835, 168, 139, 137, 2, 151, 17
8930, 170, 287, 281, 6, 114, 56
8968, 317, 281, 275, 6, 229, 88
9071, 173, 393, 382, 11, 154, 19
9116, 58, 52, 47, 5, 50, 8
9282, 267, 339, 339, 0, 240, 27
9310, 63, 123, 83, 40, 63, 0
9343, 85, 132, 112, 20, 81, 4
9665, 83, 151, 84, 67, 83, 0
9698, 43, 72, 64, 8, 39, 4
9825, 133, 51, 43, 8, 103, 30
9829, 109, 129, 121, 8, 90, 19
9846, 313, 370, 365, 5, 145, 168
9870, 2, 6, 1, 5, 2, 0
9979, 101, 137, 131, 6, 85, 16
10132, 79, 66, 65, 1, 75, 4
10158, 160, 263, 257, 6, 143, 17
10197, 243, 282, 274, 8, 243, 0
10369, 582, 568, 559, 9, 348, 234
10390, 105, 59, 58, 1, 95, 10
10428, 1181, 293, 239, 54, 66, 1115
10430, 159, 174, 167, 7, 106, 53
10509, 0, 36, 2, 34, 0, 0
10661, 1, 4, 0, 4, 1, 0
10750, 96, 112, 111, 1, 59, 37
10782, 55, 46, 46, 0, 45, 10
10818, 15, 3, 0, 3, 15, 0
10822, 0, 4, 2, 2, 0, 0
10873, 27, 33, 28, 5, 26, 1
10932, 1, 2, 0, 2, 0, 1
11002, 82, 46, 41, 5, 74, 8
11056, 1, 1, 0, 1, 1, 0
11086, 191, 58, 32, 26, 189, 2
11205, 88, 73, 13, 60, 79, 9
11305, 38, 46, 45, 1, 31, 7
11409, 295, 139, 125, 14, 233, 62
11445, 227, 709, 696, 13, 147, 80
11598, 166, 269, 257, 12, 166, 0
11640, 185, 298, 290, 8, 185, 0
11675, 67, 55, 54, 1, 58, 9
11751, 26, 47, 45, 2, 26, 0
11818, 49, 73, 71, 2, 22, 27
12179, 21, 28, 24, 4, 20, 1
12200, 0, 57, 1, 56, 0, 0
12211, 195, 77, 72, 5, 160, 35
12359, 136, 183, 175, 8, 25, 111
12467, 216, 204, 183, 21, 95, 121
12661, 5, 69, 4, 65, 5, 0
12664, 2, 1, 0, 1, 2, 0
12797, 41, 123, 119, 4, 41, 0
12976, 0, 12, 2, 10, 0, 0
13025, 4, 2, 1, 1, 1, 3
13106, 44, 238, 230, 8, 37, 7
13199, 87, 111, 101, 10, 87, 0
13248, 39, 88, 80, 8, 29, 10
13303, 147, 170, 165, 5, 102, 45
13335, 48, 59, 54, 5, 40, 8
13518, 19, 45, 43, 2, 10, 9
13539, 39, 29, 22, 7, 36, 3
13551, 0, 9, 0, 9, 0, 0
13683, 64, 31, 23, 8, 59, 5
14124, 11, 117, 15, 102, 11, 0
14126, 20, 10, 9, 1, 18, 2
14203, 53, 58, 58, 0, 50, 3
14366, 0, 4, 3, 1, 0, 0
14416, 6, 70, 8, 62, 5, 1
15132, 77, 63, 58, 5, 65, 12
15203, 45, 34, 33, 1, 45, 0
15285, 98, 118, 116, 2, 98, 0
15505, 5, 70, 3, 67, 5, 0
15654, 11, 15, 12, 3, 11, 0
15979, 3, 15, 9, 6, 3, 0
16001, 36, 46, 43, 3, 36, 0
16308, 29, 28, 28, 0, 28, 1
16331, 198, 196, 187, 9, 185, 13
16351, 184, 136, 126, 10, 49, 135
16531, 41, 31, 31, 0, 41, 0
16560, 0, 19, 0, 19, 0, 0
16572, 27, 16, 14, 2, 27, 0
16697, 176, 45, 20, 25, 164, 12
16733, 6, 5, 3, 2, 6, 0
16751, 110, 94, 88, 6, 110, 0
16786, 19, 19, 15, 4, 9, 10
16821, 5, 61, 1, 60, 0, 5
16925, 141, 148, 145, 3, 128, 13
16926, 462, 413, 399, 14, 371, 91
16930, 120, 83, 80, 3, 53, 67
16941, 16, 27, 23, 4, 16, 0
16955, 4, 9, 8, 1, 4, 0
16971, 45, 69, 61, 8, 45, 0
16981, 15, 12, 12, 0, 15, 0
16985, 42, 39, 33, 6, 37, 5
16992, 47, 77, 45, 32, 47, 0
16993, 157, 170, 163, 7, 156, 1
16995, 213, 333, 302, 31, 213, 0
17001, 37, 15, 15, 0, 36, 1
17005, 159, 326, 300, 26, 156, 3
17006, 113, 109, 104, 5, 93, 20
17007, 86, 130, 119, 11, 82, 4
17012, 108, 114, 108, 6, 52, 56
17013, 204, 264, 245, 19, 204, 0
17014, 85, 115, 107, 8, 84, 1
17015, 107, 114, 111, 3, 106, 1
17019, 21, 42, 39, 3, 21, 0
17020, 147, 252, 226, 26, 82, 65
17025, 87, 117, 110, 7, 85, 2
17026, 700, 199, 192, 7, 290, 410
17030, 127, 164, 155, 9, 83, 44
17042, 125, 145, 117, 28, 125, 0
17048, 105, 193, 186, 7, 105, 0
17059, 646, 152, 121, 31, 34, 612
17069, 366, 349, 337, 12, 234, 132
17072, 116, 98, 93, 5, 79, 37
17073, 127, 203, 200, 3, 125, 2
17102, 43, 39, 35, 4, 34, 9
17337, 100, 139, 134, 5, 93, 7
17343, 79, 83, 81, 2, 63, 16
17344, 103, 41, 41, 0, 103, 0
17349, 72, 208, 179, 29, 69, 3
17354, 369, 679, 649, 30, 219, 150
17359, 66, 38, 35, 3, 66, 0
17360, 79, 77, 64, 13, 77, 2
17362, 38, 88, 85, 3, 38, 0
17376, 308, 323, 319, 4, 278, 30
17381, 99, 209, 174, 35, 83, 16
17386, 97, 78, 76, 2, 96, 1
17391, 149, 202, 165, 37, 147, 2
17393, 107, 89, 86, 3, 107, 0
17394, 101, 109, 100, 9, 93, 8
17396, 137, 274, 266, 8, 117, 20
17398, 143, 229, 220, 9, 143, 0
17404, 66, 90, 84, 6, 66, 0
17414, 11, 13, 13, 0, 11, 0
17416, 31, 18, 17, 1, 31, 0
17724, 189, 62, 59, 3, 175, 14
17789, 51, 39, 38, 1, 23, 28
18148, 14, 10, 8, 2, 11, 3
18489, 44, 16, 16, 0, 42, 2
18761, 55, 104, 99, 5, 55, 0
18921, 28, 14, 14, 0, 28, 0
19229, 96, 79, 79, 0, 64, 32
19416, 87, 65, 65, 0, 80, 7
19500, 5, 18, 17, 1, 3, 2
19907, 24, 15, 15, 0, 24, 0
20036, 64, 128, 125, 3, 44, 20
20109, 10, 11, 9, 2, 10, 0
20275, 38, 46, 42, 4, 38, 0
20383, 16, 32, 7, 25, 16, 0
20449, 0, 5, 0, 5, 0, 0
20597, 44, 39, 21, 18, 25, 19
20741, 54, 74, 72, 2, 39, 15
21263, 7, 8, 7, 1, 7, 0
21277, 166, 125, 123, 2, 101, 65
21286, 31, 74, 30, 44, 31, 0
21643, 29, 19, 12, 7, 28, 1
21664, 74, 55, 53, 2, 74, 0
22070, 109, 95, 89, 6, 81, 28
22313, 43, 64, 62, 2, 35, 8
22431, 67, 119, 116, 3, 66, 1
22466, 56, 27, 1, 26, 54, 2
22939, 8, 39, 1, 38, 8, 0
23419, 90, 48, 47, 1, 90, 0
23467, 227, 131, 125, 6, 200, 27
23494, 3, 3, 2, 1, 3, 0
23510, 17, 30, 29, 1, 15, 2
23515, 217, 138, 127, 11, 193, 24
23532, 298, 392, 380, 12, 286, 12
23559, 33, 41, 40, 1, 33, 0
24131, 42, 58, 54, 4, 39, 3
24135, 131, 102, 94, 8, 109, 22
24138, 9, 51, 7, 44, 9, 0
24633, 1, 2, 1, 1, 1, 0
24881, 202, 58, 49, 9, 202, 0
25564, 0, 24, 0, 24, 0, 0
25689, 29, 34, 9, 25, 26, 3
25696, 21, 4, 0, 4, 12, 9
25798, 18, 6, 6, 0, 7, 11
26084, 209, 66, 56, 10, 209, 0
26099, 34, 25, 9, 16, 33, 1
26167, 44, 134, 16, 118, 40, 4
26168, 72, 155, 149, 6, 67, 5
26335, 11, 68, 10, 58, 11, 0
26515, 12, 6, 5, 1, 12, 0
26986, 118, 17, 6, 11, 116, 2
27187, 204, 263, 252, 11, 203, 1
27190, 47, 68, 44, 24, 47, 0
27205, 117, 184, 165, 19, 102, 15
27207, 11, 9, 1, 8, 10, 1
27208, 52, 53, 52, 1, 52, 0
27210, 151, 228, 220, 8, 140, 11
27211, 176, 91, 87, 4, 143, 33
27212, 28, 31, 30, 1, 28, 0
27216, 95, 211, 203, 8, 95, 0
27254, 155, 177, 167, 10, 134, 21
27257, 52, 53, 50, 3, 52, 0
27262, 167, 179, 176, 3, 153, 14
27271, 157, 150, 143, 7, 134, 23
27274, 100, 139, 136, 3, 98, 2
27280, 112, 47, 43, 4, 107, 5
27775, 133, 186, 171, 15, 125, 8
28280, 48, 29, 28, 1, 39, 9
28937, 280, 310, 296, 14, 265, 15
29144, 16, 15, 13, 2, 13, 3
29226, 93, 89, 86, 3, 79, 14
29244, 23, 15, 14, 1, 23, 0
29247, 10, 22, 5, 17, 10, 0
29352, 0, 29, 7, 22, 0, 0
29547, 24, 29, 23, 6, 24, 0
29632, 151, 215, 210, 5, 149, 2
29900, 69, 40, 38, 2, 67, 2
31416, 153, 106, 102, 4, 145, 8
31709, 73, 27, 23, 4, 72, 1
31838, 68, 60, 55, 5, 62, 6
32195, 22, 8, 8, 0, 17, 5
32692, 46, 29, 28, 1, 46, 0
33928, 0, 1, 0, 1, 0, 0
33931, 461, 398, 369, 29, 219, 242
33932, 122, 104, 102, 2, 122, 0
33936, 153, 53, 50, 3, 153, 0
33937, 73, 51, 51, 0, 70, 3
33939, 124, 146, 144, 2, 100, 24
33943, 65, 108, 98, 10, 65, 0
33945, 43, 30, 26, 4, 42, 1
33948, 125, 78, 74, 4, 125, 0
33955, 84, 46, 46, 0, 84, 0
33958, 118, 76, 19, 57, 117, 1
33959, 99, 201, 192, 9, 95, 4
33960, 198, 332, 323, 9, 190, 8
33964, 108, 100, 97, 3, 108, 0
33975, 188, 111, 106, 5, 128, 60
33978, 60, 55, 46, 9, 60, 0
33984, 27, 29, 27, 2, 26, 1
33990, 141, 193, 179, 14, 125, 16
37770, 4, 8, 2, 6, 2, 2
37925, 5, 182, 177, 5, 1, 4
38108, 10, 5, 5, 0, 10, 0
38109, 69, 58, 58, 0, 67, 2
38429, 8, 9, 3, 6, 7, 1
38430, 1, 2, 1, 1, 1, 0
38432, 0, 2, 1, 1, 0, 0
38519, 8, 25, 6, 19, 8, 0
38936, 18, 15, 10, 5, 18, 0
39030, 1, 6, 1, 5, 1, 0
39202, 1, 1, 0, 1, 1, 0
40530, 33, 56, 53, 3, 22, 11
43474, 229, 33, 20, 13, 29, 200
43811, 46, 26, 26, 0, 43, 3
43812, 57, 55, 51, 4, 47, 10
43911, 1, 1, 0, 1, 1, 0
44569, 38, 26, 25, 1, 29, 9
47911, 53, 21, 21, 0, 39, 14
48738, 36, 26, 26, 0, 19, 17
48756, 41, 87, 77, 10, 40, 1
48759, 194, 284, 38, 246, 194, 0
48768, 153, 146, 61, 85, 112, 41
51764, 4, 1, 0, 1, 3, 1
57053, 264, 238, 26, 212, 257, 7
57055, 9, 7, 6, 1, 9, 0
57078, 80, 82, 79, 3, 80, 0
57084, 1, 166, 0, 166, 1, 0
57087, 85, 53, 51, 2, 73, 12
57089, 38, 35, 33, 2, 38, 0
57094, 92, 82, 78, 4, 91, 1
57105, 47, 51, 48, 3, 43, 4
58003, 1, 4, 0, 4, 1, 0
58731, 3, 133, 1, 132, 3, 0
58745, 27, 47, 9, 38, 27, 0
58757, 90, 77, 71, 6, 53, 37
58764, 0, 68, 0, 68, 0, 0
58784, 63, 79, 76, 3, 56, 7
58810, 7, 4, 0, 4, 7, 0
58813, 9, 8, 3, 5, 9, 0
59755, 1, 22, 0, 22, 1, 0
62462, 9, 6, 4, 2, 9, 0
62648, 8, 5, 4, 1, 7, 1
63667, 0, 30, 0, 30, 0, 0
63672, 2, 21, 4, 17, 2, 0
63686, 9, 26, 8, 18, 9, 0
63689, 294, 251, 232, 19, 192, 102
63691, 102, 188, 175, 13, 96, 6
63694, 197, 271, 263, 8, 117, 80
63696, 51, 73, 67, 6, 45, 6
63705, 249, 186, 176, 10, 119, 130
63712, 67, 119, 115, 4, 55, 12
65840, 3, 3, 1, 2, 2, 1
66455, 9, 11, 1, 10, 9, 0
66457, 17, 43, 23, 20, 15, 2
66459, 13, 46, 4, 42, 13, 0
66463, 25, 93, 8, 85, 25, 0
66466, 181, 126, 15, 111, 181, 0
66467, 5, 75, 8, 67, 5, 0
66468, 59, 131, 27, 104, 59, 0
66477, 0, 36, 0, 36, 0, 0
66479, 132, 107, 104, 3, 57, 75
66481, 157, 179, 171, 8, 155, 2
66485, 50, 37, 2, 35, 50, 0
66492, 0, 4, 1, 3, 0, 0
66493, 0, 5, 1, 4, 0, 0
67729, 100, 167, 162, 5, 92, 8
67746, 149, 52, 22, 30, 57, 92
67840, 15, 39, 34, 5, 15, 0
67847, 87, 90, 86, 4, 87, 0
69901, 0, 2, 1, 1, 0, 0
69902, 0, 1, 0, 1, 0, 0
77253, 127, 157, 150, 7, 111, 16
77260, 41, 107, 60, 47, 41, 0
77262, 87, 88, 86, 2, 84, 3
77264, 72, 101, 95, 6, 72, 0
77267, 6, 45, 3, 42, 6, 0
77508, 6, 8, 7, 1, 6, 0
79417, 128, 41, 40, 1, 127, 1
80775, 19, 6, 2, 4, 19, 0
80803, 3, 14, 4, 10, 3, 0
80808, 13, 66, 2, 64, 12, 1
80816, 4, 33, 2, 31, 4, 0
82332, 3, 4, 3, 1, 3, 0
82372, 44, 41, 41, 0, 44, 0
88810, 1, 2, 1, 1, 1, 0
92135, 3, 41, 0, 41, 3, 0
92164, 5, 90, 4, 86, 4, 1
92799, 56, 178, 106, 72, 56, 0
92823, 47, 64, 27, 37, 47, 0
92825, 15, 31, 31, 0, 15, 0
92832, 81, 191, 179, 12, 81, 0
92837, 40, 51, 51, 0, 40, 0
92840, 17, 2, 2, 0, 17, 0
93549, 3, 3, 2, 1, 3, 0
93793, 2, 2, 1, 1, 2, 0
94603, 45, 53, 35, 18, 43, 2
94797, 4, 20, 2, 18, 4, 0
95003, 66, 29, 28, 1, 66, 0
95502, 63, 62, 61, 1, 63, 0
95614, 10, 158, 6, 152, 10, 0
95668, 43, 47, 43, 4, 43, 0
96104, 2, 73, 0, 73, 2, 0
96116, 115, 68, 60, 8, 82, 33
96180, 48, 20, 9, 11, 48, 0
96450, 7, 54, 5, 49, 7, 0
96537, 14, 99, 6, 93, 13, 1
96702, 3, 40, 5, 35, 3, 0
96703, 41, 39, 38, 1, 37, 4
96825, 16, 23, 21, 2, 14, 2
97330, 83, 184, 180, 4, 81, 2
97335, 2, 87, 5, 82, 2, 0
97724, 9, 9, 9, 0, 9, 0
98284, 27, 38, 3, 35, 27, 0
98393, 1, 3, 2, 1, 1, 0
98491, 31, 31, 30, 1, 29, 2
98532, 6, 22, 1, 21, 6, 0
98571, 0, 4, 1, 3, 0, 0
98779, 64, 22, 2, 20, 60, 4
99330, 44, 8, 4, 4, 43, 1
99462, 28, 23, 21, 2, 27, 1
99749, 8, 39, 3, 36, 8, 0
99800, 20, 14, 13, 1, 19, 1
99820, 4, 5, 1, 4, 4, 0
100046, 29, 42, 25, 17, 26, 3
100067, 2, 26, 2, 24, 2, 0
100261, 1, 18, 1, 17, 0, 1
